EPOCH_1,EPOCH_2,EPOCH_3,EPOCH_4,EPOCH_5
38.75178909301758,6.9080939292907715,5.6247453689575195,5.472448348999023,5.7195963859558105
37.74555015563965,6.546215534210205,5.995383262634277,5.41204833984375,5.081522703170776
35.60798199971517,6.168759981791179,6.267198880513509,4.940240065256755,4.785414059956868
35.46414232254028,5.807883858680725,6.17668879032135,4.943143248558044,4.874578833580017
35.62510032653809,5.790940189361573,6.082770252227784,5.115915012359619,4.620328760147094
35.4443883895874,6.068532943725586,5.971452871958415,5.062282721201579,4.763521154721578
34.660914284842356,6.2596555437360495,5.973282269069126,5.039950234549386,4.82060170173645
34.053439140319824,6.253505289554596,5.987141191959381,5.086721897125244,4.66428679227829
33.47908592224121,6.275143994225396,5.946958170996772,5.090579244825575,4.6525492668151855
33.387497138977054,6.26113543510437,5.8538237571716305,4.960558795928955,4.747110891342163
33.42600024830211,6.21493556282737,5.809519941156561,4.845537900924683,4.708273844285444
33.33442989985148,6.21778158346812,5.86150058110555,4.836395084857941,4.697420438130696
33.09318454448994,6.242695331573486,5.828422362987812,4.765764511548555,4.662258551670955
32.934920583452495,6.237665755408151,5.710240091596331,4.785260694367545,4.722841773714338
32.88543510437012,6.2398839314778645,5.749634075164795,4.698916943868001,4.701835346221924
32.71749138832092,6.251503944396973,5.685146868228912,4.705408364534378,4.698637276887894
32.586906769696405,6.256308331209071,5.690092227038215,4.7560754663804,4.649731439702651
32.52531083424886,6.198114607069227,5.663200722800361,4.759359863069323,4.632167842653063
32.29364646108527,6.155076353173507,5.634397908260948,4.760302041706286,4.665042049006412
32.12797927856445,6.1554854154586796,5.647257733345032,4.75388195514679,4.697676968574524
31.98062542506627,6.159770534152076,5.615404378800165,4.797187509990874,4.704092956724621
31.780307336287066,6.173010370948098,5.610298070040616,4.812490073117343,4.703456770290028
31.75143457495648,6.225265088288681,5.584662810615871,4.83252709844838,4.706971500230872
31.470666646957397,6.232071280479431,5.554303546746572,4.812455793221791,4.684659004211426
31.405198364257814,6.204180583953858,5.546535797119141,4.781773834228516,4.692040252685547
31.32925503070538,6.189249478853666,5.527857285279494,4.80007973084083,4.670224354817317
31.402811403627748,6.260692101937753,5.514469040764703,4.879495726691352,4.663462515230532
31.303416320255824,6.270660196031843,5.556811520031521,4.8482093300138205,4.666893703596933
31.1736406128982,6.326026439666748,5.536930561065674,4.878983826472841,4.710120086012216
31.179713122049968,6.317095708847046,5.548406537373861,4.900057315826416,4.6926461060841875
31.038842662688225,6.299497958152525,5.537968327922206,4.919174701936783,4.664671613324073
30.773975551128387,6.314205601811409,5.5403541922569275,4.876335188746452,4.642275586724281
